,sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,is_5g,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
12,SAMS-00000013,2022-07-11,2022,Q3,July,Argentina,South America,Buenos Aires,Samsung 11kg Washer-Dryer Combo,Appliances,,White,No,1172.91,7,1,1090.81,1090.81,ARS,907,989364.67,E-commerce Platform,Net Banking,Business,25–34,,4.9,Kept
13,SAMS-00000014,2022-07-17,2022,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy S22,Galaxy S,512 GB,Phantom Black,Yes,654.34,15,1,556.19,556.19,ARS,907,504464.33,Corporate / B2B,BNPL (Buy Now Pay Later),Government,25–34,New User,4.6,Kept
14,SAMS-00000015,2022-07-28,2022,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy M14 5G,Galaxy M,64 GB,Icy Blue,Yes,172.9,7,1,160.8,160.8,ARS,907,145845.6,E-commerce Platform,Net Banking,Business,18–24,New User,4.3,Kept
15,SAMS-00000016,2022-08-06,2022,Q3,August,Argentina,South America,Buenos Aires,Samsung 32GB MicroSD Card,Accessories,,Black,No,8.87,12,5,7.81,39.05,ARS,907,35418.35,Carrier Store,Debit Card,Enterprise,35–44,,3,Kept
16,SAMS-00000017,2022-09-27,2022,Q3,September,Argentina,South America,Buenos Aires,Samsung Galaxy S24+,Galaxy S,128 GB,Titanium Yellow,Yes,1041.21,12,7,916.26,6413.82,ARS,907,5817334.74,Online (Samsung.com),Gift Card,Education,25–34,Android (Samsung),,Kept
17,SAMS-00000018,2022-09-28,2022,Q3,September,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,,White,No,142.14,0,5,142.14,710.7,ARS,907,644604.9,E-commerce Platform,Samsung Pay,Enterprise,35–44,,,Kept
18,SAMS-00000019,2022-12-19,2022,Q4,December,Argentina,South America,Buenos Aires,Samsung The Frame 55-inch,Smart TV,,Black,No,1278.78,0,2,1278.78,2557.56,ARS,907,2319706.92,Corporate / B2B,Debit Card,Individual,18–24,,4.7,Returned
19,SAMS-00000020,2022-12-21,2022,Q4,December,Argentina,South America,Buenos Aires,Samsung Galaxy S21 FE,Galaxy S,1 TB,Green,No,491.19,0,2,491.19,982.38,ARS,907,891018.66,Samsung Store,EMI / Installment,Government,18–24,New User,3.3,Kept
20,SAMS-00000021,2023-01-31,2023,Q1,January,Argentina,South America,Buenos Aires,Samsung Galaxy Buds FE,Galaxy Buds,,Bora Purple,No,96.56,20,1,77.25,77.25,ARS,907,70065.75,Authorized Reseller,Cash,Government,45–54,,4.6,Kept
21,SAMS-00000022,2023-02-27,2023,Q1,February,Argentina,South America,Buenos Aires,Samsung ViewFinity S9,Monitor,,Black,No,1413.28,7,4,1314.35,5257.4,ARS,907,4768461.8,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,18–24,,3.2,Kept
22,SAMS-00000023,2023-04-06,2023,Q2,April,Argentina,South America,Buenos Aires,Samsung Galaxy S24+,Galaxy S,256 GB,Titanium Yellow,Yes,959.63,0,2,959.63,1919.26,ARS,907,1740768.82,Authorized Reseller,Credit Card,Education,18–24,New User,3.3,Kept
23,SAMS-00000024,2023-04-26,2023,Q2,April,Argentina,South America,Buenos Aires,Samsung OLED S95C 65-inch,Smart TV,,White,No,2557.32,0,5,2557.32,12786.6,ARS,907,11597446.2,Samsung Store,EMI / Installment,Enterprise,18–24,,4.6,Kept
24,SAMS-00000025,2023-06-12,2023,Q2,June,Argentina,South America,Buenos Aires,Samsung Galaxy S23 FE,Galaxy S,512 GB,Phantom Black,Yes,586.36,10,2,527.72,1055.44,ARS,907,957284.08,Authorized Reseller,Credit Card,Government,35–44,Feature Phone,3.6,Kept
25,SAMS-00000026,2023-07-09,2023,Q3,July,Argentina,South America,Buenos Aires,Samsung M8 4K Smart Monitor,Monitor,,White,No,660.07,15,1,561.06,561.06,ARS,907,508881.42,Authorized Reseller,Cash,Individual,55+,,2.9,Kept
26,SAMS-00000027,2023-07-12,2023,Q3,July,Argentina,South America,Buenos Aires,Samsung T7 Shield 1TB SSD,Accessories,,Navy,No,100.47,0,1,100.47,100.47,ARS,907,91126.29,Samsung Store,Cash,Individual,25–34,,2.8,Kept
27,SAMS-00000028,2023-09-16,2023,Q3,September,Argentina,South America,Buenos Aires,Samsung 25W USB-C Adapter,Accessories,,Blue,No,26.75,15,2,22.74,45.48,ARS,907,41250.36,Corporate / B2B,Credit Card,Government,25–34,,,Kept
28,SAMS-00000029,2023-11-05,2023,Q4,November,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 4 Classic,Galaxy Watch,,Gold,No,256.44,0,2,256.44,512.88,ARS,907,465182.16,Third-Party Retailer,EMI / Installment,Enterprise,35–44,,4.8,Kept
29,SAMS-00000030,2023-11-27,2023,Q4,November,Argentina,South America,Buenos Aires,Samsung Odyssey Neo G9,Monitor,,White,No,1469.07,10,1,1322.16,1322.16,ARS,907,1199199.12,Online (Samsung.com),BNPL (Buy Now Pay Later),Education,25–34,,4.1,Kept
30,SAMS-00000031,2023-12-28,2023,Q4,December,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,512 GB,Blue,Yes,675.07,7,3,627.82,1883.46,ARS,907,1708298.22,Online (Samsung.com),Samsung Pay,Education,45–54,Android (Other),3.1,Kept
31,SAMS-00000032,2023-12-29,2023,Q4,December,Argentina,South America,Buenos Aires,Samsung Wireless Charger Pad,Accessories,,White,No,51.82,10,5,46.64,233.2,ARS,907,211512.4,Samsung Store,Gift Card,Business,35–44,,4.9,Kept
32,SAMS-00000033,2023-12-30,2023,Q4,December,Argentina,South America,Buenos Aires,Samsung Smart Tag 2,Accessories,,Blue,No,29.18,7,2,27.14,54.28,ARS,907,49231.96,Samsung Store,Cash,Enterprise,55+,,,Kept
33,SAMS-00000034,2024-02-22,2024,Q1,February,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9,Galaxy Tab,64 GB,Silver,No,802.92,0,1,802.92,802.92,ARS,907,728248.44,Online (Samsung.com),Debit Card,Government,55+,,4.2,Kept
34,SAMS-00000035,2024-02-29,2024,Q1,February,Argentina,South America,Buenos Aires,Samsung Neo QLED 8K QN900C,Smart TV,,White,No,4682.67,10,4,4214.4,16857.6,ARS,907,15289843.2,Third-Party Retailer,Gift Card,Individual,18–24,,2.5,Kept
35,SAMS-00000036,2024-04-02,2024,Q2,April,Argentina,South America,Buenos Aires,Samsung Galaxy S22+,Galaxy S,256 GB,Lime,Yes,866.7,20,4,693.36,2773.44,ARS,907,2515510.08,Samsung Store,Net Banking,Enterprise,25–34,Feature Phone,4.2,Kept
36,SAMS-00000037,2024-04-04,2024,Q2,April,Argentina,South America,Buenos Aires,Samsung WindFree AC 1.5 Ton,Appliances,,Black,No,729.38,10,10,656.44,6564.4,ARS,907,5953910.8,E-commerce Platform,Credit Card,Government,35–44,,4.2,Kept
37,SAMS-00000038,2024-04-11,2024,Q2,April,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 4,Galaxy Watch,,Graphite,No,186.65,0,3,186.65,559.95,ARS,907,507874.65,Samsung Store,BNPL (Buy Now Pay Later),Government,35–44,,4.7,Returned
38,SAMS-00000039,2024-06-08,2024,Q2,June,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 5 Pro,Galaxy Watch,,Silver,No,370.81,0,1,370.81,370.81,ARS,907,336324.67,Carrier Store,Gift Card,Government,35–44,,,Kept
39,SAMS-00000040,2024-07-01,2024,Q3,July,Argentina,South America,Buenos Aires,Samsung Crystal UHD 43-inch,Smart TV,,White,No,520.1,0,3,520.1,1560.3,ARS,907,1415192.1,Corporate / B2B,Debit Card,Business,45–54,,3.4,Returned
40,SAMS-00000041,2024-07-15,2024,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,,Graphite,No,141.28,0,3,141.28,423.84,ARS,907,384422.88,Corporate / B2B,Samsung Pay,Government,18–24,,3.9,Kept
41,SAMS-00000042,2024-07-24,2024,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,256 GB,Green,Yes,688.13,2,1,674.37,674.37,ARS,907,611653.59,Corporate / B2B,Credit Card,Government,25–34,Android (Samsung),3.9,Kept
42,SAMS-00000043,2021-01-22,2021,Q1,January,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,1 TB,Lime,Yes,822.41,12,1,723.72,723.72,ARS,907,656414.04,Third-Party Retailer,Gift Card,Enterprise,35–44,iOS,4.6,Exchanged
43,SAMS-00000044,2021-03-11,2021,Q1,March,Argentina,South America,Córdoba,Samsung The Frame 55-inch,Smart TV,,Black,No,1250.45,2,1,1225.44,1225.44,ARS,907,1111474.08,Third-Party Retailer,Cash,Business,55+,,4.9,Kept
44,SAMS-00000045,2021-03-24,2021,Q1,March,Argentina,South America,Córdoba,Samsung Odyssey Neo G9,Monitor,,White,No,1624.95,15,1,1381.21,1381.21,ARS,907,1252757.47,E-commerce Platform,Debit Card,Business,35–44,,4.1,Kept
45,SAMS-00000046,2021-08-01,2021,Q3,August,Argentina,South America,Córdoba,Samsung T7 Shield 1TB SSD,Accessories,,Silver,No,90.57,0,1,90.57,90.57,ARS,907,82146.99,Corporate / B2B,Credit Card,Enterprise,18–24,,2.5,Returned
46,SAMS-00000047,2021-08-10,2021,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,512 GB,Phantom White,Yes,780.1,0,1,780.1,780.1,ARS,907,707550.7,Online (Samsung.com),Samsung Pay,Individual,25–34,iOS,,Kept
47,SAMS-00000048,2021-09-05,2021,Q3,September,Argentina,South America,Córdoba,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome Violet,Yes,326.88,2,1,320.34,320.34,ARS,907,290548.38,Online (Samsung.com),Samsung Pay,Individual,25–34,Android (Other),4.1,Kept
48,SAMS-00000049,2021-10-03,2021,Q4,October,Argentina,South America,Córdoba,Samsung 25L Microwave,Appliances,,Black,No,216.21,7,1,201.08,201.08,ARS,907,182379.56,Authorized Reseller,Debit Card,Business,45–54,,,Kept
49,SAMS-00000050,2021-10-22,2021,Q4,October,Argentina,South America,Córdoba,Samsung Galaxy A14,Galaxy A,128 GB,Awesome Black,No,159.03,3,1,154.26,154.26,ARS,907,139913.82,Corporate / B2B,Credit Card,Business,45–54,Android (Other),2.7,Kept
50,SAMS-00000051,2021-12-06,2021,Q4,December,Argentina,South America,Córdoba,Samsung Galaxy Buds 2,Galaxy Buds,,White,No,148.35,20,4,118.68,474.72,ARS,907,430571.04,Authorized Reseller,BNPL (Buy Now Pay Later),Business,25–34,,4,Kept
51,SAMS-00000052,2022-01-27,2022,Q1,January,Argentina,South America,Córdoba,Samsung Galaxy Buds Live,Galaxy Buds,,Lime,No,149.9,0,5,149.9,749.5,ARS,907,679796.5,Samsung Store,BNPL (Buy Now Pay Later),Enterprise,25–34,,4.2,Kept
52,SAMS-00000053,2022-03-19,2022,Q1,March,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Blue,Yes,1008.61,0,1,1008.61,1008.61,ARS,907,914809.27,Third-Party Retailer,EMI / Installment,Individual,35–44,Android (Other),,Kept
53,SAMS-00000054,2022-04-04,2022,Q2,April,Argentina,South America,Córdoba,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Violet,Yes,402.83,12,1,354.49,354.49,ARS,907,321522.43,Authorized Reseller,Credit Card,Government,25–34,New User,,Kept
54,SAMS-00000055,2022-05-01,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 4,Galaxy Z,1 TB,Lavender,Yes,923.95,2,2,905.47,1810.94,ARS,907,1642522.58,Carrier Store,EMI / Installment,Education,18–24,Android (Other),3.3,Kept
55,SAMS-00000056,2022-05-12,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,256 GB,Awesome Violet,No,136.48,2,1,133.75,133.75,ARS,907,121311.25,E-commerce Platform,Net Banking,Enterprise,18–24,Feature Phone,4.8,Kept
56,SAMS-00000057,2022-05-19,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy Buds 2,Galaxy Buds,,Lime,No,140.61,0,1,140.61,140.61,ARS,907,127533.27,Corporate / B2B,Debit Card,Government,45–54,,,Kept
57,SAMS-00000058,2022-05-31,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy M54 5G,Galaxy M,128 GB,Dark Blue,Yes,320.31,7,1,297.89,297.89,ARS,907,270186.23,Corporate / B2B,Gift Card,Education,45–54,Feature Phone,4.7,Kept
58,SAMS-00000059,2022-07-07,2022,Q3,July,Argentina,South America,Córdoba,Samsung Neo QLED 4K QN85C,Smart TV,,White,No,1838.52,12,3,1617.9,4853.7,ARS,907,4402305.9,E-commerce Platform,Samsung Pay,Education,18–24,,,Kept
59,SAMS-00000060,2022-07-25,2022,Q3,July,Argentina,South America,Córdoba,Samsung T7 Shield 1TB SSD,Accessories,,Navy,No,95.76,20,3,76.61,229.83,ARS,907,208455.81,Third-Party Retailer,Gift Card,Business,35–44,,4.8,Kept
60,SAMS-00000061,2023-02-19,2023,Q1,February,Argentina,South America,Córdoba,Samsung Galaxy A34 5G,Galaxy A,64 GB,Awesome Black,Yes,376.7,20,2,301.36,602.72,ARS,907,546667.04,Authorized Reseller,Samsung Pay,Education,35–44,Feature Phone,4.4,Kept
61,SAMS-00000062,2023-02-24,2023,Q1,February,Argentina,South America,Córdoba,Samsung Galaxy Buds FE,Galaxy Buds,,Cream,No,95.82,12,1,84.32,84.32,ARS,907,76478.24,E-commerce Platform,Net Banking,Enterprise,55+,,,Kept
62,SAMS-00000063,2023-04-17,2023,Q2,April,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,256 GB,Prism Black,Yes,184.28,10,1,165.85,165.85,ARS,907,150425.95,Third-Party Retailer,Cash,Education,55+,New User,3,Kept
63,SAMS-00000064,2023-04-19,2023,Q2,April,Argentina,South America,Córdoba,Samsung Galaxy Tab S9+,Galaxy Tab,128 GB,Lime,No,1018.78,2,1,998.4,998.4,ARS,907,905548.8,Authorized Reseller,BNPL (Buy Now Pay Later),Business,35–44,,3.4,Exchanged
64,SAMS-00000065,2023-07-28,2023,Q3,July,Argentina,South America,Córdoba,Samsung Neo QLED 8K QN900C,Smart TV,,White,No,4557.31,0,2,4557.31,9114.62,ARS,907,8266960.34,Corporate / B2B,Debit Card,Government,35–44,,,Kept
65,SAMS-00000066,2023-08-08,2023,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy Z Fold 5,Galaxy Z,1 TB,Graphite,Yes,1707.94,7,1,1588.38,1588.38,ARS,907,1440660.66,Carrier Store,BNPL (Buy Now Pay Later),Government,45–54,iOS,3.2,Kept
66,SAMS-00000067,2023-08-19,2023,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy Buds Live,Galaxy Buds,,White,No,158.76,20,2,127.01,254.02,ARS,907,230396.14,Samsung Store,Cash,Government,55+,,3.3,Kept
67,SAMS-00000068,2023-08-20,2023,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,128 GB,Waterfall Blue,Yes,182.46,0,5,182.46,912.3,ARS,907,827456.1,Carrier Store,Credit Card,Business,25–34,Android (Samsung),3.1,Kept
68,SAMS-00000069,2023-12-14,2023,Q4,December,Argentina,South America,Córdoba,Samsung S Pen (Galaxy S24 Ultra),Accessories,,Navy,Yes,45.48,0,1,45.48,45.48,ARS,907,41250.36,Authorized Reseller,EMI / Installment,Government,25–34,,4.4,Kept
69,SAMS-00000070,2024-01-12,2024,Q1,January,Argentina,South America,Córdoba,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome White,Yes,333,7,1,309.69,309.69,ARS,907,280888.83,Corporate / B2B,Net Banking,Business,35–44,New User,,Kept
70,SAMS-00000071,2024-04-23,2024,Q2,April,Argentina,South America,Córdoba,Samsung Wireless Charger Pad,Accessories,,Blue,No,48.53,2,10,47.56,475.6,ARS,907,431369.2,Authorized Reseller,Credit Card,Individual,25–34,,2.6,Kept
71,SAMS-00000072,2024-05-22,2024,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy Tab A9+,Galaxy Tab,512 GB,Silver,No,359.72,0,3,359.72,1079.16,ARS,907,978798.12,Carrier Store,Credit Card,Government,35–44,,2.6,Kept
72,SAMS-00000073,2024-06-30,2024,Q2,June,Argentina,South America,Córdoba,Samsung Galaxy S22 Ultra,Galaxy S,256 GB,Titanium Black,Yes,1044.34,7,2,971.24,1942.48,ARS,907,1761829.36,Online (Samsung.com),Debit Card,Business,35–44,iOS,,Exchanged
73,SAMS-00000074,2024-07-07,2024,Q3,July,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Gray,Yes,740.36,0,1,740.36,740.36,ARS,907,671506.52,Online (Samsung.com),Net Banking,Government,45–54,Android (Other),,Kept
74,SAMS-00000075,2024-10-21,2024,Q4,October,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Phantom Black,Yes,919.36,0,1,919.36,919.36,ARS,907,833859.52,Samsung Store,Cash,Business,18–24,Android (Samsung),3.8,Kept
75,SAMS-00000076,2024-11-01,2024,Q4,November,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,64 GB,Awesome Peach,No,127.81,5,4,121.42,485.68,ARS,907,440511.76,Carrier Store,Cash,Government,35–44,Feature Phone,4.3,Kept
76,SAMS-00000077,2024-12-05,2024,Q4,December,Argentina,South America,Córdoba,Samsung Galaxy Watch 5,Galaxy Watch,,Black,No,261.26,0,1,261.26,261.26,ARS,907,236962.82,Authorized Reseller,Cash,Enterprise,55+,,4.9,Exchanged
77,SAMS-00000078,2024-12-17,2024,Q4,December,Argentina,South America,Córdoba,Samsung Galaxy Tab S9,Galaxy Tab,1 TB,Cream,No,863.02,0,1,863.02,863.02,ARS,907,782759.14,Authorized Reseller,Debit Card,Enterprise,45–54,,2.7,Kept
78,SAMS-00000079,2024-12-22,2024,Q4,December,Argentina,South America,Córdoba,Samsung 25W USB-C Adapter,Accessories,,Silver,No,28.16,0,1,28.16,28.16,ARS,907,25541.12,Online (Samsung.com),Debit Card,Education,55+,,,Kept
79,SAMS-00000080,2024-12-24,2024,Q4,December,Argentina,South America,Córdoba,Samsung Galaxy Watch 5 Pro,Galaxy Watch,,Cream,No,366.5,0,2,366.5,733,ARS,907,664831,Carrier Store,Gift Card,Government,45–54,,,Returned
80,SAMS-00000081,2021-01-17,2021,Q1,January,Argentina,South America,La Plata,Samsung Galaxy A34 5G,Galaxy A,256 GB,Awesome Violet,Yes,371.01,10,2,333.91,667.82,ARS,907,605712.74,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,25–34,New User,3,Kept
81,SAMS-00000082,2021-02-24,2021,Q1,February,Argentina,South America,La Plata,Samsung Galaxy S23 Ultra,Galaxy S,128 GB,Lime,Yes,1306.91,5,2,1241.56,2483.12,ARS,907,2252189.84,Corporate / B2B,EMI / Installment,Government,18–24,Feature Phone,4.6,Kept
82,SAMS-00000083,2021-02-26,2021,Q1,February,Argentina,South America,La Plata,Samsung S Pen (Galaxy S24 Ultra),Accessories,,Silver,Yes,50.36,7,4,46.83,187.32,ARS,907,169899.24,Samsung Store,Credit Card,Enterprise,45–54,,,Kept
83,SAMS-00000084,2021-05-04,2021,Q2,May,Argentina,South America,La Plata,Samsung Galaxy S22 Ultra,Galaxy S,1 TB,Titanium Violet,Yes,1157.04,15,3,983.48,2950.44,ARS,907,2676049.08,Corporate / B2B,EMI / Installment,Individual,25–34,Android (Other),3.8,Kept
84,SAMS-00000085,2021-06-01,2021,Q2,June,Argentina,South America,La Plata,Samsung WindFree AC 1.5 Ton,Appliances,,Black,No,776.3,0,1,776.3,776.3,ARS,907,704104.1,Carrier Store,EMI / Installment,Individual,18–24,,,Kept
85,SAMS-00000086,2021-12-27,2021,Q4,December,Argentina,South America,La Plata,Samsung Galaxy S24,Galaxy S,1 TB,Titanium Black,Yes,812.29,20,2,649.83,1299.66,ARS,907,1178791.62,Carrier Store,Credit Card,Business,35–44,iOS,,Kept
86,SAMS-00000087,2022-01-22,2022,Q1,January,Argentina,South America,La Plata,Samsung 25W USB-C Adapter,Accessories,,White,No,27.11,20,4,21.69,86.76,ARS,907,78691.32,Corporate / B2B,Samsung Pay,Business,18–24,,5,Kept
87,SAMS-00000088,2022-01-29,2022,Q1,January,Argentina,South America,La Plata,Samsung Galaxy Tab S9,Galaxy Tab,64 GB,Silver,No,738.27,0,1,738.27,738.27,ARS,907,669610.89,E-commerce Platform,EMI / Installment,Government,35–44,,3.2,Kept
88,SAMS-00000089,2022-02-27,2022,Q1,February,Argentina,South America,La Plata,Samsung Galaxy Tab S9 FE,Galaxy Tab,64 GB,Lime,No,423.93,2,2,415.45,830.9,ARS,907,753626.3,Online (Samsung.com),Net Banking,Individual,18–24,,,Kept
89,SAMS-00000090,2022-03-09,2022,Q1,March,Argentina,South America,La Plata,Samsung T7 Shield 1TB SSD,Accessories,,Blue,No,95.99,10,1,86.39,86.39,ARS,907,78355.73,Carrier Store,EMI / Installment,Business,45–54,,3.6,Kept
90,SAMS-00000091,2022-03-14,2022,Q1,March,Argentina,South America,La Plata,Samsung Galaxy Tab S9 FE,Galaxy Tab,128 GB,Lime,No,471.46,20,1,377.17,377.17,ARS,907,342093.19,Third-Party Retailer,EMI / Installment,Enterprise,35–44,,,Exchanged
91,SAMS-00000092,2022-03-20,2022,Q1,March,Argentina,South America,La Plata,Samsung Galaxy Z Flip 3,Galaxy Z,1 TB,Phantom Black,Yes,737.85,0,4,737.85,2951.4,ARS,907,2676919.8,Corporate / B2B,Gift Card,Business,45–54,Android (Other),4.5,Kept
92,SAMS-00000093,2022-04-15,2022,Q2,April,Argentina,South America,La Plata,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome White,Yes,380.95,0,6,380.95,2285.7,ARS,907,2073129.9,Online (Samsung.com),Net Banking,Individual,45–54,New User,3.2,Returned
93,SAMS-00000094,2022-04-26,2022,Q2,April,Argentina,South America,La Plata,Samsung Galaxy Watch 4 Classic,Galaxy Watch,,Silver,No,267.62,12,3,235.51,706.53,ARS,907,640822.71,Third-Party Retailer,BNPL (Buy Now Pay Later),Individual,45–54,,3,Returned
94,SAMS-00000095,2022-05-24,2022,Q2,May,Argentina,South America,La Plata,Samsung Galaxy S24,Galaxy S,128 GB,Cream,Yes,848.49,7,2,789.1,1578.2,ARS,907,1431427.4,Carrier Store,EMI / Installment,Government,25–34,Android (Samsung),3.8,Kept
95,SAMS-00000096,2022-07-29,2022,Q3,July,Argentina,South America,La Plata,Samsung Galaxy S22,Galaxy S,128 GB,Titanium Violet,Yes,724.45,10,2,652.01,1304.02,ARS,907,1182746.14,E-commerce Platform,Net Banking,Government,35–44,New User,,Kept
96,SAMS-00000097,2022-09-18,2022,Q3,September,Argentina,South America,La Plata,Samsung 45W USB-C Charger,Accessories,,Navy,No,47.5,15,4,40.38,161.52,ARS,907,146498.64,Samsung Store,Cash,Business,55+,,,Kept
97,SAMS-00000098,2023-01-14,2023,Q1,January,Argentina,South America,La Plata,Samsung Galaxy Tab S8 Ultra,Galaxy Tab,1 TB,Cream,No,945.73,0,3,945.73,2837.19,ARS,907,2573331.33,Corporate / B2B,Credit Card,Enterprise,55+,,,Kept
98,SAMS-00000099,2023-01-14,2023,Q1,January,Argentina,South America,La Plata,Samsung Wireless Charger Pad,Accessories,,Black,No,45.89,10,4,41.3,165.2,ARS,907,149836.4,Online (Samsung.com),Credit Card,Business,25–34,,2.7,Kept
99,SAMS-00000100,2023-02-01,2023,Q1,February,Argentina,South America,La Plata,Samsung Galaxy S24 Ultra,Galaxy S,1 TB,Titanium Black,Yes,1296,7,2,1205.28,2410.56,ARS,907,2186377.92,E-commerce Platform,Gift Card,Individual,55+,Android (Other),3.9,Kept
